CODIGO	DIAGNOSTIC
H940	NEURITIS DEL NERVIO AUDITIVO EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
H948	OTROS TRASTORNOS ESPECIFICADOS DEL OIDO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H95	"TRASTORNOS DEL OIDO Y DE LA APOFISIS MASTOIDES CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTR"
H950	COLESTEATOMA RECURRENTE DE LA CAVIDAD RESULTANTE DE LA MASTOIDECTOMIA
H951	OTROS TRASTORNOS POSTERIORES A LA MASTOIDECTOMIA
H958	"OTROS TRASTORNOS DEL OIDO Y DE LA APOFISIS MASTOIDES, CONSECUTIVOS A PROCEDIMIENTOS"
H959	"TRASTORNOS NO ESPECIFICADOS DEL OIDO Y DE LA APOFISIS MASTOIDES, CONSECUTIVOS A PROCEDIMIENTOS"
I00	FIEBRE REUMATICA SIN MENCION DE COMPLICACION CARDIACA
I00X	FIEBRE REUMATICA SIN MENCION DE COMPLICACION CARDIACA
I01	FIEBRE REUMATICA CON COMPLICACION CARDIACA
I010	PERICARDITIS REUMATICA AGUDA
I011	ENDOCARDITIS REUMATICA AGUDA
I012	MIOCARDITIS REUMATICA AGUDA
I018	OTRAS ENFERMEDADES REUMATICAS AGUDAS DEL CORAZON
I019	"ENFERMEDAD REUMATICA AGUDA DEL CORAZON, NO ESPECIFICADA"
I02	COREA REUMATICA
I020	COREA REUMATICA CON COMPLICACION CARDIACA
I029	COREA REUMATICA SIN MENCION DE COMPLICACION CARDIACA
I05	ENFERMEDADES REUMATICAS DE LA VALVULA MITRAL
I050	ESTENOSIS MITRAL
I051	INSUFICIENCIA MITRAL REUMATICA
I052	ESTENOSIS MITRAL CON INSUFICIENCIA
I058	OTRAS ENFERMEDADES DE LA VALVULA MITRAL
I059	"ENFERMEDAD VALVULAR MITRAL, NO ESPECIFICADA"
I06	ENFERMEDADES REUMATICAS DE LA VALVULA AORTICA
I060	ESTENOSIS AORTICA REUMATICA
I061	INSUFICIENCIA AORTICA REUMATICA
I062	ESTENOSIS AORTICA REUMATICA CON INSUFICIENCIA
I068	OTRAS ENFERMEDADES REUMATICAS DE LA VALVULA AORTICA
I069	"ENFERMEDAD VALVULAR AORTICA REUMATICA, NO ESPECIFICADA"
I07	ENFERMEDADES REUMATICAS DE LA VALVULA TRICUSPIDE
I070	ESTENOSIS TRICUSPIDE
I071	INSUFICIENCIA TRICUSPIDE
I072	ESTENOSIS E INSUFICIENCIA TRICUSPIDE
I078	OTRAS ENFERMEDADES DE LA VALVULA TRICUSPIDE
I079	"ENFERMEDAD DE LA VALVULA TRICUSPIDE, NO ESPECIFICADA"
I08	ENFERMEDADES VALVULARES MULTIPLES
I080	TRASTORNOS DE LAS VALVULAS MITRAL Y AORTICA
I081	TRASTORNOS DE LAS VALVULAS MITRAL Y TRICUSPIDE
I082	TRASTORNOS DE LAS VALVULAS AORTICA Y TRICUSPIDE
I083	"TRASTORNOS COMBINADOS DE LAS VALVULAS MITRAL, TRICUSPIDE Y AORTICA"
I088	OTRAS ENFERMEDADES DE MULTIPLES VALVULAS
I089	"ENFERMEDAD DE MULTIPLES VALVULAS, NO ESPECIFICADA"
I09	OTRAS ENFERMEDADES REUMATICAS DEL CORAZON
I090	MIOCARDITIS REUMATICA
I091	"ENFERMEDADES REUMATICAS DEL ENDOCARDIO, VALVULA NO ESPECIFICADA"
I092	PERICARDITIS REUMATICA CRONICA
I098	OTRAS ENFERMEDADES REUMATICAS ESPECIFICADAS DEL CORAZON
I099	"ENFERMEDAD REUMATICA DEL CORAZON, NO ESPECIFICADA"
I10	HIPERTENSION ESENCIAL (PRIMARIA)
I10X	HIPERTENSION ESENCIAL (PRIMARIA)
I11	ENFERMEDAD CARDIACA HIPERTENSIVA
I110	ENFERMEDAD CARDIACA HIPERTENSIVA CON INSUFICIENCIA CARDIACA (CONGESTIVA)
I119	ENFERMEDAD CARDIACA HIPERTENSIVA SIN INSUFICIENCIA CARDIACA (CONGESTIVA)
I12	ENFERMEDAD RENAL HIPERTENSIVA
I120	ENFERMEDAD RENAL HIPERTENSIVA CON INSUFICIENCIA RENAL
I129	ENFERMEDAD RENAL HIPERTENSIVA SIN INSUFICIENCIA RENAL
I13	ENFERMEDAD CARDIORRENAL HIPERTENSIVA
I130	ENFERMEDAD CARDIORRENAL HIPERTENSIVA CON INSUFICIENCIA CARDIACA (CONGESTIVA)
I131	ENFERMEDAD CARDIORRENAL HIPERTENSIVA CON INSUFICIENCIA RENAL
I132	ENFERMEDAD CARDIORRENAL HIPERTENSIVA CON INSUFICIENCIA CARDIACA Y RENAL (CONGESTIVAS)
I139	"ENFERMEDAD CARDIORRENAL HIPERTENSIVA, NO ESPECIFICADA"
I15	HIPERTENSION SECUNDARIA
I150	HIPERTENSION RENOVASCULAR
I151	HIPERTENSION SECUNDARIA A OTROS TRASTORNOS RENALES
I152	HIPERTENSION SECUNDARIA A TRASTORNOS ENDOCRINOS
I158	OTROS TIPO DE HIPERTENSION SECUNDARIA
I159	"HIPERTENSION SECUNDARIA, NO ESPECIFICADA"
I20	ANGINA DE PECHO
I200	ANGINA INESTABLE
I201	ANGINA DE PECHO CON ESPASMO DOCUMENTADO
I208	OTRAS FORMAS ESPECIFICADAS DE ANGINA DE PECHO
I209	"ANGINA DE PECHO, NO ESPECIFICADA"
I21	INFARTO AGUDO DEL MIOCARDIO
I210	INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PAREDANTERIOR
I211	INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PARED INFERIOR
I212	INFARTO AGUDO TRANSMURAL DEL MIOCARDIO DE OTROS SITIOS
I213	"INFARTO TRANSMURAL AGUDO DEL MIOCARDIO, DE SITIO NO ESPECIFICADO"
I214	INFARTO SUBENDOCARDICO AGUDO DEL MIOCARDIO
I219	"INFARTO AGUDO DEL MIOCARDIO, SIN OTRA ESPECIFICACION"
I22	INFARTO SUBSECUENTE DEL MIOCARDIO
I220	INFARTO SUBSECUENTE DEL MIOCARDIO DE LA PARED ANTERIOR
I221	INFARTO SUBSECUENTE DEL MIOCARDIO DE LA PARED INFERIOR
I228	INFARTO SUBSECUENTE DEL MIOCARDIO DE OTROS SITIOS
I229	"INFARTO SUBSECUENTE DEL MIOCARDIO, DE PARTE NO ESPECIFICADA"
I23	CIERTAS COMPLICACIONES PRESENTES POSTERIORES AL INFARTO AGUDO DEL MIOCARDIO
I230	HEMOPERICARDIO COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO
I231	DEFECTO DEL TABIQUE AURICULAR COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO DEL MIOCARDIO
I232	DEFECTO DEL TABIQUE VENTRICULAR COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO DEL MIOCARDIO
I233	RUPTURA DE LA PARED CARDIACA SIN HEMOPERICARDIO COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO AGUD
I234	RUPTURA DE LAS CUERDAS TENDINOSAS COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDI
I235	RUPTURA DE MUSCULO PAPILAR COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO
I236	"TROMBOSIS DE LA AURICULA, APENDICE AURICULAR Y VENTRICULO COMO COMPLICACION PRESENTE POSTERIOR AL IN"
I238	OTRAS COMPLICACIONES PRESENTES POSTERIORES AL INFARTO AGUDO DEL MIOCARDIO
I24	OTRAS ENFERMEDADES ISQUEMICAS AGUDAS DEL CORAZON
I240	TROMBOSIS CORONARIA QUE NO RESULTA EN INFARTO DEL MIOCARDIO
I241	SINDROME DE DRESSLER
I248	OTRAS FORMAS DE ENFERMEDAD ISQUEMICA AGUDA DEL CORAZON
I249	"ENFERMEDAD ISQUEMICA AGUDA DEL CORAZON, NO ESPECIFICADA"
I25	ENFERMEDAD ISQUEMICA CRONICA DEL CORAZON
I250	"ENFERMEDAD CARDIOVASCULAR ATEROSCLEROTICA, ASI DESCRITA"
I251	ENFERMEDAD ATEROSCLEROTICA DEL CORAZON
I252	INFARTO ANTIGUO DEL MIOCARDIO
I253	ANEURISMA CARDIACO
I254	ANEURISMA DE ARTERIA CORONARIA
I255	CARDIOMIOPATIA ISQUEMICA
I256	ISQUEMIA SILENTE DEL MIOCARDIO
I258	OTRAS FORMAS DE ENFERMEDAD ISQUEMICA CRONICA DEL CORAZON
I259	"ENFERMEDAD ISQUEMICA CRONICA DEL CORAZON, NO ESPECIFICADA"
I26	EMBOLIA PULMONAR
I260	EMBOLIA PULMONAR CON MENCION DE CORAZON PULMONAR AGUDO
I269	EMBOLIA PULMONAR SIN MENCION DE CORAZON PULMONAR AGUDO
I27	OTRAS ENFERMEDADES CARDIOPULMONARES
I270	HIPERTENSION PULMONAR PRIMARIA
I271	ENFERMEDAD CIFOSCOLIOTICA DEL CORAZON
I278	OTRAS ENFERMEDADES CARDIOPULMONARES ESPECIFICADAS
I279	"ENFERMEDAD  PULMONAR DEL CORAZON, NO ESPECIFICADA"
I28	OTRAS ENFERMEDADES DE LOS VASOS PULMONARES
I280	FISTULA ARTERIOVENOSA DE LOS VASOS PULMONARES
I281	ANEURISMA DE LA ARTERIA PULMONAR
I288	OTRAS ENFERMEDADES ESPECIFICADAS DE LOS VASOS PULMONARES
I289	"ENFERMEDAD DE LOS VASOS PULMONARES, NO ESPECIFICADA"
I30	PERICARDITIS AGUDA
I300	PERICARDITIS IDIOPATICA AGUDA INESPECIFICA
I301	PERICARDITIS INFECCIOSA
I308	OTRAS FORMAS DE PERICARDITIS AGUDA
I309	"PERICARDITIS AGUDA, NO ESPECIFICADA"
I31	OTRAS ENFERMEDADES DEL PERICARDIO
I310	PERICARDITIS CRONICA ADHESIVA
I311	PERICARDITIS CONSTRICTIVA CRONICA
I312	"HEMOPERICARDIO, NO CLASIFICADO EN OTRA PARTE"
I313	DERRAME PERICARDICO (NO INFLAMATORIO)
I318	OTRAS ENFERMEDADES ESPECIFICADAS DEL PERICARDIO
I319	"ENFERMEDAD DEL PERICARDIO, NO ESPECIFICADA"
I32	PERICARDITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I320	PERICARDITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
I321	PERICARDITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I328	PERICARDITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I33	ENDOCARDITIS AGUDA Y SUBAGUDA
I330	ENDOCARDITIS INFECCIOSA AGUDA Y SUBAGUDA
I339	"ENDOCARDITIS AGUDA, NO ESPECIFICADA"
I34	TRASTORNOS NO REUMATICOS DE LA VALVULA MITRAL
I340	INSUFICIENCIA (DE LA VALVULA) MITRAL
I341	PROLAPSO (DE LA VALVULA) MITRAL
I342	"ESTENOSIS (DE LA VALVULA) MITRAL, NO REUMATICA"
I348	OTROS TRASTORNOS NO REUMATICOS DE LA VALVULA MITRAL
I349	"TRASTORNO MITRAL NO REUMATICO, NO ESPECIFICADO"
I35	TRASTORNOS NO REUMATICOS DE LA VALVULA AORTICA
I350	ESTENOSIS (DE LA VALVULA) AORTICA
I351	INSUFICIENCIA (DE LA VALVULA) AORTICA
I352	ESTENOSIS (DE LA VALVULA) AORTICA CON INSUFICIENCIA
I358	OTROS TRASTORNOS DE LA VALVULA AORTICA
I359	"TRASTORNO DE LA VALVULA AORTICA, NO ESPECIFICADO"
I36	TRASTORNOS NO REUMATICOS DE LA VALVULA TRICUSPIDE
I360	ESTENOSIS NO REUMATICA (DE LA VALVULA) TRICUSPIDE
I361	INSUFICIENCIA NO REUMATICA (DE LA VALVULA) TRICUSPIDE
I362	ESTENOSIS CON INSUFICIENCIA NO REUMATICA (DE LA VALVULA) TRICUSPIDE
I368	OTROS TRASTORNOS NO REUMATICOS DE LA VALVULA TRICUSPIDE
I369	"TRASTORNO NO REUMATICO DE LA VALVULA TRICUSPIDE, NO ESPECIFICADO"
I37	TRASTORNOS DE LA VALVULA PULMONAR
I370	ESTENOSIS DE LA VALVULA PULMONAR
I371	INSUFICIENCIA DE LA VALVULA PULMONAR
I372	ESTENOSIS DE LA VALVULA PULMONAR CON INSUFICIENCIA
I378	OTROS TRASTORNOS DE LA VALVULA PULMONAR
I379	"TRASTORNO DE LA VALVULA PULMONAR, NO ESPECIFICADO"
I38	"ENDOCARDITIS, VALVULA NO ESPECIFICADA"
I38X	"ENDOCARDITIS, VALVULA NO ESPECIFICADA"
I39	ENDOCARDITIS Y TRASTORNOS VALVULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I390	TRASTORNOS DE LA VALVULA MITRAL EN ENFERMEDAES CLASIFICADAS EN OTRA PARTE
I391	TRASTORNOS DE LA VALVULA AORTICA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I392	TRASTORNOS DE LA VALVULA TRICUSPIDE EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I393	TRASTORNOS DE LA VALVULA PULMONAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I394	TRASTORNOS VALVULARES MULTIPLES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I398	"ENDOCARDITIS, VALVULA NO ESPECIFICADA, EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
I40	MIOCARDITIS AGUDA
I400	MIOCARDITIS INFECCIOSA
I401	MIOCARDITIS AISLADA
I408	OTRAS MIOCARDITIS AGUDAS
I409	"MIOCARDITIS AGUDA, NO ESPECIFICADA"
I41	MIOCARDITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I410	MIOCARDITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
I411	MIOCARDITIS EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE
I412	MIOCARDITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I418	MIOCARDITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I42	CARDIOMIOPATIA
I420	CARDIOMIOPATIA DILATADA
I421	CARDIOMIOPATIA HIPERTROFICA OBSTRUCTIVA
I422	OTRAS CARDIOMIOPATIAS HIPERTROFICAS
I423	ENFERMEDAD ENDOMIOCARDICA (EOSINOFILICA)
I424	FIBROESLASTOSIS ENDOCARDICA
I425	OTRAS CARDIOMIOPATIAS RESTRICTIVAS
I426	CARDIOMIOPATIA ALCOHOLICA
I427	CARDIOMIOPATIA DEBIDA A DROGAS Y OTROS AGENTES EXTERNOS
I428	OTRAS CARDIOMIOPATIAS
I429	"CARDIOMIOPATIA, NO ESPECIFICADA"
I43	CARDIOMIOPATIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I430	CARDIOMIOPATIA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I431	CARDIOMIOPATIA EN ENFERMEDADES METABOLICAS
I432	CARDIOMIOPATIA EN ENFERMEDADES NUTRICIONALES
I438	CARDIOMIOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I44	BLOQUEO AURICULOVENTRICULAR Y DE RAMA IZQUIERDA DEL HAZ
I440	BLOQUEO AURICULOVENTRICULAR DE PRIMER GRADO
I441	BLOQUEO AURICULOVENTRICULAR DE SEGUNDO GRADO
I442	BLOQUEO AURICULOVENTRICULAR COMPLETO
I443	OTROS TIPOS DE BLOQUEO AURICULOVENTRICULAR Y LOS NO ESPECIFICADOS
I444	BLOQUEO FASCICULAR ANTERIOR IZQUIERDO
I445	BLOQUEO FASCICULAR POSTERIOR IZQUIERDO
I446	OTROS TIPOS DE BLOQUEO FASCICULAR Y LOS NO ESPECIFICADOS
I447	"BLOQUEO DE RAMA IZQUIERDA DEL HAZ, SIN OTRA ESPECIFICACION"
I45	OTROS TRASTORNOS DE LA CONDUCCION
I450	BLOQUEO FASCICULAR DERECHO
I451	OTROS TIPOS DE BLOQUEOS DE RAMA DERECHA DEL HAZ Y LOS NO ESPECIFICADOS
I452	BLOQUEO BIFASCICULAR
I453	BLOQUEO TRIFASCICULAR
I454	BLOQUEO INTRAVENTRICULAR NO ESPECIFICADO
I455	OTROS TIPOS ESPECIFICADOS DE BLOQUEO DEL CORAZON
I456	SINDROME DE PREEXCITACION
I458	OTROS TRASTORNOS ESPECIFICADOS DE LA CONDUCCION
I459	"TRASTORNO DE LA CONDUCCION, NO ESPECIFICADO"
I46	PARO CARDIACO
I460	PARO CARDIACO CON RESUCITACION EXITOSA
I461	"MUERTE CARDIACA SUBITA, ASI DESCRITA"
I469	"PARO CARDIACO, NO ESPECIFICADO"
I47	TAQUICARDIA PAROXISTICA
I470	ARRITMIA POR REENTRADA VENTRICULAR
I471	TAQUICARDIA SUPRAVENTRICULAR
I472	TAQUICARDIA VENTRICULAR
I479	"TAQUICARDIA PAROXISTICA, NO ESPECIFICADA"
I48	FIBRILACION Y ALETEO AURICULAR
I48X	FIBRILACION Y ALETEO AURICULAR
I49	OTRAS ARRITMIAS CARDIACAS
I490	FIBRILACION Y ALETEO VENTRICULAR
I491	DESPOLARIZACION AURICULAR PREMATURA
I492	DESPOLARIZACION PREMATURA NODAL
I493	DESPOLARIZACION VENTRICULAR PREMATURA
I494	OTRAS TIPOS DE DESPOLARIZACION PREMATURA Y LOS NO ESPECIFICADOS
I495	SINDROME DEL SENO ENFERMO
I498	OTRAS ARRITMIAS CARDIACAS ESPECIFICADAS
I499	"ARRITMIA CARDIACA, NO ESPECIFICADA"
I50	INSUFICIENCIA CARDIACA
I500	INSUFICIENCIA CARDIACA CONGESTIVA
I501	INSUFICIENCIA VENTRICULAR IZQUIERDA
I509	"INSUFICIENCIA CARDIACA, NO ESPECIFICADA"
I51	COMPLICACIONES Y DESCRIPCIONES MAL DEFINIDAS DE ENFERMEDAD CARDIACA
I510	"DEFECTO DEL TABIQUE CARDIACO, ADQUIRIDO"
I511	"RUPTURA DE CUERDA TENDINOSA, NO CLASIFICADA EN OTRA PARTE"
I512	"RUPTURA DE MUSCULO PAPILAR, NO CLASIFICADA EN OTRA PARTE"
I513	"TROMBOSIS INTRACARDIACA, NO CLASIFICADA EN OTRA PARTE"
I514	"MIOCARDITIS, NO ESPECIFICADA"
I515	DEGENERACION MIOCARDICA
I516	"ENFERMEDAD CARDIOVASCULAR, NO ESPECIFICADA"
I517	CARDIOMEGALIA
I518	OTRAS ENFERMEDADES CARDIACAS MAL DEFINIDAS
I519	"ENFERMEDAD CARDIACA, NO ESPECIFICADA"
I52	OTROS TRASTORNOS CARDIACOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I520	OTROS TRASTORNOS CARDIACOS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
I521	OTROS TRASTORNOS CARDIACOS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PAR
I528	OTROS TRASTORNOS CARDIACOS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I60	HEMORRAGIA SUBARACNOIDEA
I600	HEMORRAGIA SUBARACNOIDEA DE SIFON Y BIFURCACION CAROTIDEA
I601	HEMORRAGIA SUBARACNOIDEA DE ARTERIA CEREBRAL MEDIA
I602	HEMORRAGIA SUBARACNOIDEA DE ARTERIA COMUNICANTE ANTERIOR
I603	HEMORRAGIA SUBARACNOIDEA DE ARTERIA COMUNICANTE POSTERIOR
I604	HEMORRAGIA SUBARACNOIDEA DE ARTERIA BASILAR
I605	HEMORRAGIA SUBARACNOIDEA DE ARTERIA VERTEBRAL
I606	HEMORRAGIA SUBARACNOIDEA DE OTRAS ARTERIAS INTRACRANEALES
I607	HEMORRAGIA SUBARACNOIDEA DE ARTERIA INTRACRANEAL NO ESPECIFICADA
I608	OTRAS HEMORRAGIAS SUBARACNOIDEAS
I609	"HEMORRAGIA SUBARACNOIDEA, NO ESPECIFICADA"
I61	HEMORRAGIA INTRAENCEFALICA
I610	"HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, SUBCORTICAL"
I611	"HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, CORTICAL"
I612	"HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, NO ESPECIFICADA"
I613	"HEMORRAGIA INTRAENCEFALICA, EN TALLO CEREBRAL"
I614	"HEMORRAGIA INTRAENCEFALICA, EN CEREBELO"
I615	"HEMORRAGIA INTRAENCEFALICA, INTRAVENTRICULAR"
I616	HEMORRAGIA INTRAENCEFALICA DE LOCALIZACIONES MULTIPLES
I618	OTRAS HEMORRAGIAS INTRAENCEFALICAS
I619	"HEMORRAGIA INTRAENCEFALICA, NO ESPECIFICADA"
I62	OTRAS HEMORRAGIAS INTRACRANEALES NO TRAUMATICAS
I620	HEMORRAGIA SUBDURAL (AGUDA) (NO TRAUMATICA)
I621	HEMORRAGIA EXTRADURAL NO TRAUMATICA
I629	"HEMORRAGIA INTRACRANEAL (NO TRAUMATICA), NO ESPECIFICADA"
I63	INFARTO CEREBRAL
I630	INFARTO CEREBRAL DEBIDO A TROMBOSIS DE ARTERIAS PRECEREBRALES
I631	INFARTO CEREBRAL DEBIDO A EMBOLIA DE ARTERIAS PRECEREBRALES
I632	INFARTO CEREBRAL DEBIDO A OCLUSION O ESTENOSIS NO ESPECIFICADA DE ARTERIAS PRECEREBRALES
I633	INFARTO CEREBRAL DEBIDO A TROMBOSIS DE ARTERIAS CEREBRALES
I634	INFARTO CEREBRAL DEBIDO A EMBOLIA DE ARTERIAS CEREBRALES
I635	INFARTO CEREBRAL DEBIDO A OCLUSION O ESTENOSIS NO ESPECIFICADA DE ARTERIAS CEREBRALES
I636	"INFARTO CEREBRAL DEBIDO A TROMBOSIS DE VENAS CEREBRALES, NO PIOGENO"
I638	OTROS INFARTOS CEREBRALES
I639	"INFARTO CEREBRAL, NO ESPECIFICADO"
I64	"ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO"
I64X	"ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO"
I65	OCLUSION Y ESTENOSIS DE LAS ARTERIAS PRECEREBRALES SIN OCASIONAR INFARTO CEREBRAL
I650	OCLUSION Y ESTENOSIS DE ARTERIA VERTEBRAL
I651	OCLUSION Y ESTENOSIS DE ARTERIA BASILAR
I652	OCLUSION Y ESTENOSIS DE ARTERIA CAROTIDA
I653	OCLUSION Y ESTENOSIS MULTIPLE BILATERAL DE ARTERIAS PRECEREBRALES
I658	OCLUSION Y ESTENOSIS DE OTRAS ARTERIAS PRECEREBRALES
I659	OCLUSION Y ESTENOSIS DE ARTERIA PRECEREBRAL NO ESPECIFICADA
I66	OCLUSION Y ESTENOSIS DE LAS ARTERIAS CEREBRALES SIN OCASIONAR INFARTO CEREBRAL
I660	OCLUSION Y ESTENOSIS DE LA ARTERIA CEREBRAL MEDIA
I661	OCLUSION Y ESTENOSIS DE LA ARTERIA CEREBRAL ANTERIOR
I662	OCLUSION Y ESTENOSIS DE LA ARTERIA CEREBRAL POSTERIOR
I663	OCLUSION Y ESTENOSIS DE ARTERIAS CEREBELOSAS
I664	OCLUSION Y ESTENOSIS MULTIPLE BILATERAL DE ARTERIAS CEREBRALES
I668	OCLUSION Y ESTENOSIS DE OTRAS ARTERIAS CEREBRALES
I669	OCLUSION Y ESTENOSIS DE ARTERIA CEREBRAL NO ESPECIFICADA
I67	OTRAS ENFERMEDADES CEREBROVASCULARES
I670	"DISECCION DE ARTERIAS CEREBRALES, SIN RUPTURA"
I671	"ANEURISMA CEREBRAL, SIN RUPTURA"
I672	ATEROSCLEROSIS CEREBRAL
I673	LEUCOENCEFALOPATIA VASCULAR PROGRESIVA
I674	ENCEFALOPATIA HIPERTENSIVA
I675	ENFERMEDAD DE MOYAMOYA
I676	TROMBOSIS APIOGENA DEL SISTEMA VENOSO INTRACRANEAL
I677	"ARTERITIS CEREBRAL, NO CLASIFICADA EN OTRA PARTE"
I678	OTRAS ENFERMEDADES CEREBROVASCULARES ESPECIFICADAS
I679	"ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA"
I68	TRASTORNOS CEREBROVASCULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I680	ANGIOPATIA CEREBRAL AMILOIDE (E85.-+)
I681	ARTERITIS CEREBRAL EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I682	ARTERITIS CEREBRAL EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I688	OTROS TRASTORNOS CEREBROVASCULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I69	SECUELAS DE ENFERMEDAD CEREBROVASCULAR
I690	SECUELAS DE HEMORRAGIA SUBARACNOIDEA
I691	SECUELAS DE HEMORRAGIA INTRAENCEFALICA
I692	SECUELAS DE OTRAS HEMORRAGIAS INTRACRANEALES NO TRAUMATICAS
I693	SECUELAS DE INFARTO CEREBRAL
I694	"SECUELAS DE ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA COMO HEMORRAGICA U OCLUSIVA"
I698	SECUELAS DE OTRAS ENFERMEDADES CEREBROVASCULARES EPECIFICADAS O NO
I70	ATEROSCLEROSIS
I700	ATEROSCLEROSIS DE LA AORTA
I701	ATEROSCLEROSIS DE LA ARTERIA RENAL
I702	ATEROSCLEROSIS DE LAS ARTERIAS DE LOS MIEMBROS
I708	ATEROSCLEROSIS DE OTRAS ARTERIAS
I709	ATEROSCLEROSIS GENERALIZADA Y LA NO ESPECIFICADA
I71	ANEURISMA Y DISECCION AORTICOS
I710	DISECCION DE AORTA (CUALQUIER PARTE)
I711	RUPTURA DE ANEURISMA DE LA AORTA TORACICA
I712	"ANEURISMA DE LA AORTA TORACICA, SIN MENCION DE RUPTURA"
I713	RUPTURA DE ANEURISMA DE LA AORTA ABDOMINAL
I714	"ANEURISMA DE LA AORTA ABDOMINAL, SIN MENCION DE RUPTURA"
I715	RUPTURA DE ANEURISMA DE LA AORTA TORACOABDOMINAL
I716	"ANEURISMA DE LA AORTA TORACOABDOMINAL, SIN MENCIONDE RUPTURA"
I718	"RUPTURA DE ANEURISMA AORTICO, SITIO NO ESPECIFICADO"
I719	"ANEURISMA DE LA AORTA, SITIO NO ESPECIFICADO, SIN MENCION DE RUPTURA"
I72	OTROS ANEURISMAS
I720	ANEURISMA DE LA ARTERIA CAROTIDA
I721	ANEURISMA DE ARTERIA DEL MIEMBRO SUPERIOR
I722	ANEURISMA DE ARTERIA RENAL
I723	ANEURISMA DE ARTERIA ILIACA
I724	ANEURISMA DE ARTERIA DEL MIEMBRO INFERIOR
I728	ANEURISMA DE OTRAS ARTERIAS ESPECIFICADAS
I729	ANEURISMA DE SITIO NO ESPECIFICADO
I73	OTRAS ENFERMEDADES VASCULARES PERIFERICAS
I730	SINDROME DE RAYNAUD
I731	TROMBOANGEITIS OBLITERANTE >BUERGER!
I738	OTRAS ENFERMEDADES VASCULARES PERIFERICAS ESPECIFICADAS
I739	"ENFERMEDAD VASCULAR PERIFERICA, NO ESPECIFICADA"
I74	EMBOLIA Y TROMBOSIS ARTERIALES
I740	EMBOLIA Y TROMBOSIS DE LA AORTA ABDOMINAL
I741	EMBOLIA Y TROMBOSIS DE OTRAS PORCIONES Y LAS NO ESPECIFICADAS DE LA AORTA
I742	EMBOLIA Y TROMBOSIS DE ARTERIAS DE LOS MIEMBROS SUPERIORES
